grammar,base,stage,s_p,s_l,eta,f1,JSD,mll,dir,file
merged_min5,BGMTG,2,0.1,0.1,0.001,0.494176,0.309665,-7.576251,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__02_BGMTG2
merged_min5,BGMTG,2,0.1,0.1,0.005,0.494442,0.309074,-7.576229,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__02_BGMTG2
merged_min5,BGMTG,2,0.1,0.1,0.05,0.494521,0.304706,-7.574776,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__02_BGMTG2
merged_min5,BGMTG,3,0.005,0.1,0.005,0.601760,0.269310,-7.571379,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__03_BGMTG3
merged_min5,BGMTG,3,0.005,0.1,0.01,0.601525,0.269255,-7.571261,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__03_BGMTG3
merged_min5,BGMTG,3,0.01,0.01,0.001,0.600282,0.265657,-7.570555,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__03_BGMTG3
merged_min5,BGMTG,3,0.01,0.01,0.005,0.600518,0.265583,-7.570418,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01__03_BGMTG3
merged_min5,BGMTG,3,0.01,0.01,0.01,0.600518,0.265499,-7.570274,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__03_BGMTG3
merged_min5,BGMTG,3,0.01,0.01,0.05,0.599812,0.265009,-7.569564,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__03_BGMTG3
merged_min5,BGMTG,3,0.05,0.001,0.001,0.599765,0.265156,-7.561627,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__03_BGMTG3
