grammar,base,stage,s_p,s_l,eta,f1,JSD,mll,dir,file
,BGMTG,5,0.005,0.01,0.01,0.633626,0.243627,-7.630207,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__05_BGMTG5
,BGMTG,5,0.005,0.1,0.01,0.635245,0.249289,-7.621467,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__05_BGMTG5
,BGMTG,5,0.005,0.0,0.05,0.631333,0.243277,-7.634897,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__05_BGMTG5
,BGMTG,5,0.005,0.001,0.05,0.630737,0.243235,-7.628937,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__05_BGMTG5
,BGMTG,5,0.005,0.01,0.05,0.632433,0.243471,-7.629375,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__05_BGMTG5
,BGMTG,5,0.005,0.1,0.05,0.634227,0.248561,-7.620384,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__05_BGMTG5
,BGMTG,5,0.01,0.0,0.001,0.634886,0.243470,-7.632490,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__05_BGMTG5
,BGMTG,5,0.01,0.001,0.001,0.633979,0.243526,-7.626856,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__05_BGMTG5
,BGMTG,5,0.01,0.01,0.001,0.636414,0.243796,-7.627023,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__05_BGMTG5
,BGMTG,5,0.01,0.1,0.001,0.633363,0.249003,-7.617664,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__05_BGMTG5
,BGMTG,5,0.01,0.0,0.005,0.634664,0.243609,-7.632376,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p0,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p0__05_BGMTG5
,BGMTG,5,0.01,0.001,0.005,0.634573,0.243644,-7.626555,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__05_BGMTG5
,BGMTG,5,0.01,0.01,0.005,0.636927,0.243893,-7.626557,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01__05_BGMTG5
,BGMTG,5,0.01,0.1,0.005,0.633946,0.248964,-7.617406,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__05_BGMTG5
,BGMTG,5,0.01,0.0,0.01,0.635237,0.243618,-7.632077,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p0,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p0__05_BGMTG5
,BGMTG,5,0.01,0.001,0.01,0.634130,0.243644,-7.626241,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__05_BGMTG5
,BGMTG,5,0.01,0.01,0.01,0.636635,0.243903,-7.626198,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__05_BGMTG5
,BGMTG,5,0.01,0.1,0.01,0.634400,0.248775,-7.616965,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__05_BGMTG5
,BGMTG,5,0.01,0.0,0.05,0.635015,0.243265,-7.630728,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__05_BGMTG5
,BGMTG,5,0.01,0.001,0.05,0.634643,0.243289,-7.624603,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__05_BGMTG5
,BGMTG,5,0.01,0.01,0.05,0.635448,0.243435,-7.624695,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__05_BGMTG5
,BGMTG,5,0.01,0.1,0.05,0.634562,0.247528,-7.615203,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__05_BGMTG5
,BGMTG,5,0.05,0.0,0.001,0.635851,0.248230,-7.627970,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0,stages_bg_stages_morphtok_min5_BGMTG1_BGMTG2_BGMTG3_BGMTG4_BGMTG5__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__05_BGMTG5
