file	mll
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.666825
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.656326
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.669010
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.650343
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.665274
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.654940
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.667838
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p05__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.648326
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.662068
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.651327
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.664706
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.645348
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.661320
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.650574
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.664039
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.644376
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.660653
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.649926
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.662864
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.643543
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.658327
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.647640
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.660951
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p1__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.640500
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.653783
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.642712
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.655573
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.636533
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.651791
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.641219
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.654426
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.634628
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.650733
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.640002
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.652870
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.633164
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p001__04_BGG4.mll.out	-8.646844
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__04_BGG4.mll.out	-8.635932
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__04_BGG4.mll.out	-8.649210
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p2__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.627528
