file	mll
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.374708
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.521166
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.660633
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.373775
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.518879
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.659413
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.373731
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.518842
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.659363
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.373603
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.518767
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.659272
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__01_BGG1.mll.out	-8.673813
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__02_BGG2.mll.out	-8.372713
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__03_BGG3.mll.out	-8.517901
stages_bg_stages_merged_min2_BGG1_BGG2_BGG3_BGG4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p1__04_BGG4.mll.out	-8.658735
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__01_BGI1.mll.out	-6.735376
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__02_BGI2.mll.out	-8.156241
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__03_BGI3.mll.out	-8.662803
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p1__04_BGI4.mll.out	-8.694384
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__01_BGI1.mll.out	-6.735376
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__02_BGI2.mll.out	-8.160127
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__03_BGI3.mll.out	-8.673287
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p001__04_BGI4.mll.out	-8.680187
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__01_BGI1.mll.out	-6.735376
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__02_BGI2.mll.out	-8.156241
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__03_BGI3.mll.out	-8.662803
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p1__04_BGI4.mll.out	-8.694383
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__01_BGI1.mll.out	-6.735376
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__02_BGI2.mll.out	-8.160127
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__03_BGI3.mll.out	-8.673287
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p001__04_BGI4.mll.out	-8.680183
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__01_BGI1.mll.out	-6.735376
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p001__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p1__02_BGI2.mll.out	-8.156241
